,dy_obs,dy_obs_level,dc_obs,dc_obs_level,dinv_obs,dinv_obs_level,dx_obs,dx_obs_level,dm_obs,dm_obs_level,pi_obs,pi_obs_level,dw_obs,dw_obs_level,dh_obs,dh_obs_level,i_R_obs,i_R_obs_level,i_3m_obs,i_3m_obs_level,ds_obs,ds_obs_level,dpO_obs,dpO_obs_level,dyS_obs,dyS_obs_level,covid_flag,db_obs
2001Q1,1.291936963083648,13.26441140035708,0.5562152561787627,12.452041701619612,1.749088979381637,11.969052001213836,2.935303549903131,13.148701464726596,2.2086444837563928,12.268023446405824,3.5470878214786645,4.348556024612281,5.424034392228862,5.681877639268151,,,1.0641847788198282,7.0,,,,2.1044256514149327,-15.534730830647462,3.2513127628540155,1.1783716212921687,1.3329623860983733,0,
2001Q2,-1.3823892757681284,13.256817344326281,-0.03590881339218022,12.459605721901328,-2.8279152656583357,11.94903616319278,-2.0538489072846757,13.131586711386031,-0.7349716164640104,12.269591897389256,2.270512790236476,4.360121799285832,,,,,,,,,,,4.698850768396164,3.306503157951254,0.6616805695227717,0.8162713343289761,0,0.0041589637684621
2001Q3,-1.0355786356823578,13.25269139469634,-0.439054867437325,12.463138281642593,0.7421092832692061,11.964720570661,2.7300302435608956,13.162310749553923,-1.6662183539741822,12.261847880997587,-6.465422269657642,4.349847736309647,,,,,1.0641847788198282,7.0,,,-2.8275520170707393,2.0806168123171234,-8.388240717051302,3.230822638194018,0.5785947581821409,0.7331855229883454,0,0.0043369958632019
2001Q4,0.6717907656060811,13.265639139079283,0.40913795240619344,12.475152769582293,-5.877537821169158,11.914208507084835,0.05960155312397458,13.166330500817445,-0.22445633429981815,12.268521484802662,-0.8097354593322641,4.353712890359275,,,,,1.0427004038198282,6.9140625,,,-0.9412724019579324,2.075670769370442,-27.398505640726583,2.965039469200029,0.08748075066275462,0.2420715154689591,0,0.0033782782559627
2002Q1,-0.20394963803551946,13.26982947942581,0.5985342737733347,12.489061220735664,2.5393407664582717,11.947865229384945,-2.7635291780049456,13.142118944769678,-1.1472062519022348,12.265967589431712,-0.30363353560375606,4.358843299218225,5.830272028454843,5.734634938138965,,,0.9391847788198282,6.5,,,-2.4279198355627587,2.0558582520877127,7.679119375817385,3.05003255037148,-0.2448649853834291,-0.09027422057722463,0,0.001554511510846
2002Q2,0.20591675837790802,13.278118483736472,-1.1603323039655367,12.485381006111647,-2.6824407776505006,11.929304136243967,0.07989080273077204,13.146341588529268,0.8758854545272124,12.283644611125057,0.025162331734515764,4.36479569774552,,,,,0.9391847788198282,6.5,,,-4.33363112199216,2.016988621940689,16.521157301753085,3.2234460108022875,-0.19041616224888763,-0.03582539744268314,0,-0.0008477984734721
2002Q3,-0.32254714757422875,13.281122848987613,0.8909723996304876,12.50221383852359,2.666290652892696,11.964230357408422,-0.19778945170635726,13.147787429744486,-3.0847311277570473,12.26171546699556,-2.695067667801401,4.363947521273976,,,,,1.05850296063801,6.9772727272727275,,,-2.009918435033925,2.001356118663248,6.005585912579144,3.291703757341356,-0.3238235454581426,-0.16923278065193817,0,-0.0038086129581659
2002Q4,-1.3982995398641924,13.273369690315853,0.7694340258802469,12.51783128719803,-1.2647705085034695,11.959845966958914,-0.1532276826719337,13.14967888865005,0.06038988157825809,12.271237532959415,2.368003075340605,4.375757021660286,,,,,1.0407472788198282,6.90625,,,-1.530212742121856,1.9905206723149276,-1.382688270987457,3.2860787620447582,-0.6647362773711233,-0.5101455125649188,0,-0.0064359935466514
2003Q1,0.19003659415057483,13.281499892984241,-0.6799876609972032,12.518954519003696,1.3662893648775003,11.981772175243217,-1.5984633609516774,13.137117990772815,-1.0972114448785337,12.269183585658702,8.889259295235371,4.403869662596334,2.3056511170982077,5.778580684731388,,,0.8082323978674473,5.976190476190476,,,2.9279100477738904,2.0242664538655646,15.56161893119453,3.4498968387699804,-1.0440694946739808,-0.8894787298677762,0,-0.0068019677732357
2003Q2,-0.3050243375721158,13.284679486335403,-0.28058995622711513,12.524071727857063,-3.7166198384109657,11.952869291494634,1.364584636383056,13.154187572868928,-0.7614031258064832,12.27048772154871,-9.097991643748818,4.387014176184921,,,,,,,,,,,-19.347325226638926,3.264625473916868,-1.4369404935602739,-1.2823497287540695,0,-0.0046428203275304
2003Q3,0.6960776140644691,13.29787009920293,0.5727722861176644,12.537722559133877,1.2061758988905118,11.973194365119067,-2.5507523366107434,13.132103785235103,0.5122051386983609,12.284527940083766,-4.017619162042655,4.382859620977773,,,,,0.16456356669861605,3.4015151515151514,,,8.114575792662864,2.1098788928650913,7.448965029082529,3.3473170116209703,-1.0671707201658474,-0.9125799553596429,0,1.24165437076669e-06
